Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01 00:00:00.000037333,23.799999,24.0,23.209999,23.93,20.68194,426940.0
1970-01-01 00:00:00.000037334,23.799999,23.9,23.41,23.540001,20.344885,359710.0
1970-01-01 00:00:00.000037335,23.209999,23.700001,23.209999,23.504999,20.314625,331540.0
1970-01-01 00:00:00.000037336,23.440001,23.68,23.254999,23.379999,20.2066,220720.0
1970-01-01 00:00:00.000037337,23.6,23.700001,23.245001,23.379999,20.2066,455570.0
1970-01-01 00:00:00.000037340,23.379999,23.379999,23.379999,23.379999,20.2066,0.0
1970-01-01 00:00:00.000037341,23.26,23.385,22.940001,23.035,19.908426,340250.0
1970-01-01 00:00:00.000037342,22.855,24.139999,22.855,23.85,20.612801,428270.0
1970-01-01 00:00:00.000037343,23.709999,23.9,23.549999,23.66,20.448597,625030.0
1970-01-01 00:00:00.000037344,23.66,23.66,23.66,23.66,20.448597,0.0
1970-01-01 00:00:00.000037347,24.15,24.15,23.025,23.365,20.193634,835090.0
1970-01-01 00:00:00.000037348,23.58,23.65,23.325001,23.485001,20.297344,1123070.0
1970-01-01 00:00:00.000037349,23.305,23.389999,22.440001,22.844999,19.744211,1283570.0
1970-01-01 00:00:00.000037350,22.85,23.200001,22.465,22.51,19.454679,659120.0
1970-01-01 00:00:00.000037351,23.875,23.875,22.415001,22.485001,19.433077,500420.0
1970-01-01 00:00:00.000037354,22.85,22.85,22.450001,22.51,19.454679,238280.0
1970-01-01 00:00:00.000037355,22.65,22.799999,22.525,22.605,19.536785,220230.0
1970-01-01 00:00:00.000037356,22.875,23.0,22.475,22.695,19.614573,161440.0
1970-01-01 00:00:00.000037357,22.620001,22.65,22.280001,22.395,19.355291,2012940.0
1970-01-01 00:00:00.000037358,22.4,22.4,22.24,22.32,19.290474,352850.0
1970-01-01 00:00:00.000037361,22.700001,22.9,22.059999,22.15,19.143551,2815170.0
1970-01-01 00:00:00.000037362,22.5,23.0,22.01,22.395,19.355291,775200.0
1970-01-01 00:00:00.000037363,22.795,22.795,22.33,22.504999,19.450363,301500.0
1970-01-01 00:00:00.000037364,22.5,22.9,22.370001,22.725,19.640501,1019510.0
1970-01-01 00:00:00.000037365,22.98,23.200001,22.42,22.645,19.57136,801040.0
1970-01-01 00:00:00.000037368,22.299999,22.84,21.975,22.174999,19.165152,1423060.0
1970-01-01 00:00:00.000037369,22.4,22.9,22.35,22.475,19.424433,579490.0
1970-01-01 00:00:00.000037370,22.68,22.68,22.4,22.495001,19.441717,261100.0
1970-01-01 00:00:00.000037371,22.309999,22.459999,22.025,22.23,19.212694,1264990.0
1970-01-01 00:00:00.000037372,22.395,22.5,22.215,22.424999,19.38122,764800.0
1970-01-01 00:00:00.000037375,22.120001,22.264999,21.860001,21.98,18.996616,1647890.0
1970-01-01 00:00:00.000037376,22.1,22.1,21.85,21.959999,18.979332,763410.0
1970-01-01 00:00:00.000037377,21.959999,21.959999,21.959999,21.959999,18.979332,0.0
1970-01-01 00:00:00.000037378,22.045,22.1,21.66,21.83,18.866983,1154110.0
1970-01-01 00:00:00.000037379,21.9,22.0,21.559999,21.65,18.711411,1309480.0
1970-01-01 00:00:00.000037382,21.700001,21.815001,21.65,21.77,18.815125,682950.0
1970-01-01 00:00:00.000037383,22.075001,22.135,21.655001,22.035,19.265388,657210.0
1970-01-01 00:00:00.000037384,22.200001,22.209999,21.9,22.115,19.335337,965660.0
1970-01-01 00:00:00.000037385,22.200001,22.27,22.049999,22.190001,19.400911,1138700.0
1970-01-01 00:00:00.000037386,22.025,22.295,22.0,22.184999,19.396538,738780.0
1970-01-01 00:00:00.000037389,21.51,22.200001,21.51,21.940001,19.182335,210430.0
1970-01-01 00:00:00.000037390,21.9,22.195,21.879999,22.030001,19.261026,221870.0
1970-01-01 00:00:00.000037391,22.200001,22.299999,22.1,22.184999,19.396538,1055450.0
1970-01-01 00:00:00.000037392,21.129999,22.25,21.129999,21.655001,18.933157,1593000.0
1970-01-01 00:00:00.000037393,22.110001,22.110001,21.605,21.905001,19.151733,919960.0
1970-01-01 00:00:00.000037396,20.055,21.85,20.055,21.690001,18.963753,271630.0
1970-01-01 00:00:00.000037397,21.200001,23.120001,21.200001,22.360001,19.549543,757710.0
1970-01-01 00:00:00.000037398,21.9,22.0,21.615,21.834999,19.09053,716930.0
1970-01-01 00:00:00.000037399,21.5,21.889999,21.315001,21.42,18.727692,475950.0
1970-01-01 00:00:00.000037400,21.6,21.950001,21.459999,21.799999,19.059929,537290.0
1970-01-01 00:00:00.000037403,23.0,23.0,21.459999,21.98,19.217306,206280.0
1970-01-01 00:00:00.000037404,21.98,22.389999,21.9,22.215,19.42277,351320.0
1970-01-01 00:00:00.000037405,22.055,22.35,21.950001,22.139999,19.357191,905850.0
1970-01-01 00:00:00.000037406,21.9,22.5,21.875,22.25,19.453369,1394730.0
1970-01-01 00:00:00.000037407,22.299999,23.225,22.15,22.940001,20.056646,1766170.0
1970-01-01 00:00:00.000037410,23.1,23.5,22.6,22.844999,19.973583,524250.0
1970-01-01 00:00:00.000037411,22.6,23.145,22.120001,22.485001,19.658829,381060.0
1970-01-01 00:00:00.000037412,22.504999,22.504999,21.815001,22.34,19.532055,1266100.0
1970-01-01 00:00:00.000037413,22.01,22.5,21.799999,22.219999,19.427141,1351200.0
1970-01-01 00:00:00.000037414,22.299999,22.299999,21.620001,21.715,18.985613,1085350.0
1970-01-01 00:00:00.000037417,22.15,22.15,21.870001,21.99,19.226048,641290.0
1970-01-01 00:00:00.000037418,22.5,22.6,21.865,22.065001,19.291622,368090.0
1970-01-01 00:00:00.000037419,22.280001,22.280001,21.865,21.99,19.226048,637800.0
1970-01-01 00:00:00.000037420,21.915001,22.09,21.855,21.99,19.226048,816730.0
1970-01-01 00:00:00.000037421,22.0,22.075001,21.9,21.985001,19.221682,395060.0
1970-01-01 00:00:00.000037424,22.0,22.0,21.860001,21.9,19.147362,1439530.0
1970-01-01 00:00:00.000037425,22.040001,22.1,21.805,21.855,19.108019,386600.0
1970-01-01 00:00:00.000037426,21.799999,21.995001,21.799999,21.870001,19.12113,332520.0
1970-01-01 00:00:00.000037427,21.9,22.174999,21.635,21.84,19.094904,463630.0
1970-01-01 00:00:00.000037428,21.855,22.17,21.700001,21.950001,19.191076,222110.0
1970-01-01 00:00:00.000037431,21.799999,21.799999,21.360001,21.459999,18.762665,1199950.0
1970-01-01 00:00:00.000037432,21.5,21.745001,21.299999,21.33,18.649004,695650.0
1970-01-01 00:00:00.000037433,21.5,21.5,21.35,21.434999,18.740808,136920.0
1970-01-01 00:00:00.000037434,21.405001,21.5,20.58,20.655001,18.058846,1166000.0
1970-01-01 00:00:00.000037435,20.995001,21.030001,19.975,20.155001,17.621693,2027720.0
1970-01-01 00:00:00.000037438,20.0,21.34,20.0,21.18,18.517859,1737470.0
1970-01-01 00:00:00.000037439,21.299999,21.299999,20.815001,20.965,18.329885,911400.0
1970-01-01 00:00:00.000037440,21.0,21.0,20.799999,20.985001,18.347372,382260.0
1970-01-01 00:00:00.000037441,21.030001,21.844999,20.834999,21.735001,19.003099,1154400.0
1970-01-01 00:00:00.000037442,21.844999,21.844999,21.1,21.34,18.657751,466380.0
1970-01-01 00:00:00.000037445,21.174999,21.6,20.879999,20.969999,18.334251,663400.0
1970-01-01 00:00:00.000037446,21.23,21.35,20.799999,20.969999,18.334251,868580.0
1970-01-01 00:00:00.000037447,21.0,21.1,20.865,21.030001,18.386715,1282220.0
1970-01-01 00:00:00.000037448,21.1,21.1,20.85,21.014999,18.373598,491480.0
1970-01-01 00:00:00.000037449,21.1,21.1,20.905001,20.995001,18.356117,184840.0
1970-01-01 00:00:00.000037452,20.950001,21.094999,20.92,21.004999,18.364851,338780.0
1970-01-01 00:00:00.000037453,21.02,21.200001,20.655001,21.07,18.421686,647180.0
1970-01-01 00:00:00.000037454,21.025,21.045,20.77,20.99,18.351738,754790.0
1970-01-01 00:00:00.000037455,21.264999,21.360001,20.92,21.07,18.421686,366520.0
1970-01-01 00:00:00.000037456,20.924999,21.495001,20.9,21.415001,18.723324,961700.0
1970-01-01 00:00:00.000037459,21.9,21.9,21.125,21.485001,18.784523,2173830.0
1970-01-01 00:00:00.000037460,21.700001,21.91,21.309999,21.48,18.780149,1122410.0
1970-01-01 00:00:00.000037461,21.545,21.545,20.9,21.105,18.452286,404710.0
1970-01-01 00:00:00.000037462,21.299999,21.299999,21.030001,21.275,18.600918,343610.0
1970-01-01 00:00:00.000037463,21.190001,21.395,20.93,21.1,18.447914,737140.0
1970-01-01 00:00:00.000037466,20.950001,21.450001,20.950001,21.23,18.561577,447790.0
1970-01-01 00:00:00.000037467,21.215,21.25,20.965,21.014999,18.373598,454390.0
1970-01-01 00:00:00.000037468,21.0,21.4,20.93,21.275,18.600918,567050.0
1970-01-01 00:00:00.000037469,21.395,21.4,20.75,21.084999,18.434799,501230.0
1970-01-01 00:00:00.000037470,21.0,21.045,20.834999,21.0,18.360483,189240.0
1970-01-01 00:00:00.000037473,21.290001,21.290001,20.959999,21.0,18.360483,220370.0
1970-01-01 00:00:00.000037474,21.01,21.174999,20.924999,21.09,18.439171,259550.0
1970-01-01 00:00:00.000037475,21.01,21.1,20.99,21.025,18.382341,327940.0
1970-01-01 00:00:00.000037476,20.915001,21.07,20.85,20.940001,18.308027,378120.0
1970-01-01 00:00:00.000037477,20.809999,21.02,20.809999,21.0,18.360483,770510.0
1970-01-01 00:00:00.000037480,20.879999,21.049999,20.875,20.98,18.342997,504220.0
1970-01-01 00:00:00.000037481,21.0,21.5,20.905001,21.15,18.491627,320290.0
1970-01-01 00:00:00.000037482,21.01,21.275,20.735001,20.83,18.211853,234870.0
1970-01-01 00:00:00.000037483,20.83,20.83,20.83,20.83,18.211853,0.0
1970-01-01 00:00:00.000037484,20.92,21.18,20.825001,21.030001,18.386715,682720.0
1970-01-01 00:00:00.000037487,21.049999,21.195,20.950001,21.1,18.447914,493300.0
